full_filename,owner_name,group_name,mode,type,prot_permissions,size_bytes,size_error
/var/ossec/framework/scripts/cluster_control.py,root,wazuh,640,file,-rw-r-----,13099,0.2
/var/ossec/framework/scripts/wazuh_logtest.py,root,wazuh,640,file,-rw-r-----,17601,0.2
/var/ossec/framework/scripts/agent_upgrade.py,root,wazuh,640,file,-rw-r-----,8733,0.2
/var/ossec/framework/scripts/__init__.py,root,wazuh,640,file,-rw-r-----,0,0.2
/var/ossec/framework/scripts/rbac_control.py,root,wazuh,640,file,-rw-r-----,4080,0.2
/var/ossec/framework/scripts/wazuh_clusterd.py,root,wazuh,640,file,-rw-r-----,11580,0.2
/var/ossec/framework/scripts/agent_groups.py,root,wazuh,640,file,-rw-r-----,13668,0.2
/var/ossec/framework/python/include/python3.10/classobject.h,root,wazuh,640,file,-rw-r-----,1657,0.2
/var/ossec/framework/python/include/python3.10/pyhash.h,root,wazuh,640,file,-rw-r-----,4223,0.2
/var/ossec/framework/python/include/python3.10/code.h,root,wazuh,640,file,-rw-r-----,318,0.2
/var/ossec/framework/python/include/python3.10/abstract.h,root,wazuh,640,file,-rw-r-----,31405,0.2
/var/ossec/framework/python/include/python3.10/enumobject.h,root,wazuh,640,file,-rw-r-----,253,0.2
/var/ossec/framework/python/include/python3.10/marshal.h,root,wazuh,640,file,-rw-r-----,803,0.2
/var/ossec/framework/python/include/python3.10/warnings.h,root,wazuh,640,file,-rw-r-----,1776,0.2
/var/ossec/framework/python/include/python3.10/pystate.h,root,wazuh,640,file,-rw-r-----,5250,0.2
/var/ossec/framework/python/include/python3.10/import.h,root,wazuh,640,file,-rw-r-----,3026,0.2
/var/ossec/framework/python/include/python3.10/pyport.h,root,wazuh,640,file,-rw-r-----,31684,0.2
/var/ossec/framework/python/include/python3.10/interpreteridobject.h,root,wazuh,640,file,-rw-r-----,334,0.2
/var/ossec/framework/python/include/python3.10/pythread.h,root,wazuh,640,file,-rw-r-----,5938,0.2
/var/ossec/framework/python/include/python3.10/sliceobject.h,root,wazuh,640,file,-rw-r-----,2516,0.2
/var/ossec/framework/python/include/python3.10/pymath.h,root,wazuh,640,file,-rw-r-----,8313,0.2
/var/ossec/framework/python/include/python3.10/complexobject.h,root,wazuh,640,file,-rw-r-----,1806,0.2
/var/ossec/framework/python/include/python3.10/pystrtod.h,root,wazuh,640,file,-rw-r-----,1483,0.2
/var/ossec/framework/python/include/python3.10/weakrefobject.h,root,wazuh,640,file,-rw-r-----,2863,0.2
/var/ossec/framework/python/include/python3.10/context.h,root,wazuh,640,file,-rw-r-----,1962,0.2
