full_filename,owner_name,group_name,mode,type,prot_permissions,size_bytes,size_error
C:\Program Files (x86)\ossec-agent/agent-auth.exe,,,777,file,-rwxrwxrwx,345328,0.2
C:\Program Files (x86)\ossec-agent/agent-auth.exe.manifest,,,666,file,-rw-rw-rw-,2465,0.2
C:\Program Files (x86)\ossec-agent/client.keys,,,666,file,-rw-rw-rw-,0,0.2
C:\Program Files (x86)\ossec-agent/dbsync.dll,,,666,file,-rw-rw-rw-,422112,0.2
C:\Program Files (x86)\ossec-agent/help.txt,,,666,file,-rw-rw-rw-,1277,0.2
C:\Program Files (x86)\ossec-agent/internal_options.conf,,,666,file,-rw-rw-rw-,14959,0.2
C:\Program Files (x86)\ossec-agent/libfimdb.dll,,,666,file,-rw-rw-rw-,469744,0.2
C:\Program Files (x86)\ossec-agent/libgcc_s_dw2-1.dll,,,666,file,-rw-rw-rw-,147864,0.2
C:\Program Files (x86)\ossec-agent/libstdc++-6.dll,,,666,file,-rw-rw-rw-,2358008,0.2
C:\Program Files (x86)\ossec-agent/libwazuhext.dll,,,666,file,-rw-rw-rw-,7401200,0.2
C:\Program Files (x86)\ossec-agent/libwazuhshared.dll,,,666,file,-rw-rw-rw-,265968,0.2
C:\Program Files (x86)\ossec-agent/libwinpthread-1.dll,,,666,file,-rw-rw-rw-,60144,0.2
C:\Program Files (x86)\ossec-agent/LICENSE.txt,,,666,file,-rw-rw-rw-,25209,0.2
C:\Program Files (x86)\ossec-agent/local_internal_options.conf,,,666,file,-rw-rw-rw-,383,0.2
C:\Program Files (x86)\ossec-agent/manage_agents.exe,,,777,file,-rwxrwxrwx,348400,0.2
C:\Program Files (x86)\ossec-agent/ossec.conf,,,666,file,-rw-rw-rw-,9852,0.2
C:\Program Files (x86)\ossec-agent/profile-10.template,,,666,file,-rw-rw-rw-,51,0.2
C:\Program Files (x86)\ossec-agent/REVISION,,,666,file,-rw-rw-rw-,7,0.2
C:\Program Files (x86)\ossec-agent/rsync.dll,,,666,file,-rw-rw-rw-,336608,0.2
C:\Program Files (x86)\ossec-agent/syscollector.dll,,,666,file,-rw-rw-rw-,481520,0.2
C:\Program Files (x86)\ossec-agent/sysinfo.dll,,,666,file,-rw-rw-rw-,529632,0.2
C:\Program Files (x86)\ossec-agent/VERSION,,,666,file,-rw-rw-rw-,9,0.2
C:\Program Files (x86)\ossec-agent/vista_sec.txt,,,666,file,-rw-rw-rw-,93551,0.2
C:\Program Files (x86)\ossec-agent/wazuh-agent.exe,,,777,file,-rwxrwxrwx,1196800,0.2
C:\Program Files (x86)\ossec-agent/win32ui.exe,,,777,file,-rwxrwxrwx,293616,0.2
C:\Program Files (x86)\ossec-agent/win32ui.exe.manifest,,,666,file,-rw-rw-rw-,367,0.2
C:\Program Files (x86)\ossec-agent/wpk_root.pem,,,666,file,-rw-rw-rw-,1367,0.2
C:\Program Files (x86)\ossec-agent\active-response/active-responses.log,,,666,file,-rw-rw-rw-,0,0.2
C:\Program Files (x86)\ossec-agent\active-response\bin/netsh.exe,,,777,file,-rwxrwxrwx,193136,0.2
C:\Program Files (x86)\ossec-agent\active-response\bin/restart-wazuh.exe,,,777,file,-rwxrwxrwx,186992,0.2
C:\Program Files (x86)\ossec-agent\active-response\bin/route-null.exe,,,777,file,-rwxrwxrwx,189552,0.2
C:\Program Files (x86)\ossec-agent\queue\syscollector/norm_config.json,,,666,file,-rw-rw-rw-,4206,0.2
C:\Program Files (x86)\ossec-agent\ruleset\sca/cis_win10_enterprise.yml,,,666,file,-rw-rw-rw-,678759,0.2
C:\Program Files (x86)\ossec-agent\shared/rootkit_files.txt,,,666,file,-rw-rw-rw-,16174,0.2
C:\Program Files (x86)\ossec-agent\shared/rootkit_trojans.txt,,,666,file,-rw-rw-rw-,5547,0.2
C:\Program Files (x86)\ossec-agent\shared/win_applications_rcl.txt,,,666,file,-rw-rw-rw-,5214,0.2
C:\Program Files (x86)\ossec-agent\shared/win_audit_rcl.txt,,,666,file,-rw-rw-rw-,4277,0.2
C:\Program Files (x86)\ossec-agent\shared/win_malware_rcl.txt,,,666,file,-rw-rw-rw-,7314,0.2
