|Id|4.x result|5.x result|4.x vs 5.x|5.x fix result|4.x vs 5.x fix|
|*31000|failed|Failed|✅|Failed|✅|
|*31001|failed|Failed|✅|Failed|✅|
|31002|not applicable|Not applicable|✅|Not applicable|✅|
|31003|not applicable|Not applicable|✅|Not applicable|✅|
|31004|not applicable|Not applicable|✅|Not applicable|✅|
|31005|not applicable|Not applicable|✅|Not applicable|✅|
|31006|not applicable|Not applicable|✅|Not applicable|✅|
|31007|not applicable|Not applicable|✅|Not applicable|✅|
|31008|not applicable|Not applicable|✅|Not applicable|✅|
|31009|not applicable|Not applicable|✅|Not applicable|✅|
|31010|not applicable|Not applicable|✅|Not applicable|✅|
|31011|not applicable|Not applicable|✅|Not applicable|✅|
|31012|not applicable|Not applicable|✅|Not applicable|✅|
|31013|not applicable|||||
|31014|not applicable|Not applicable|✅|Not applicable|✅|
|31015|not applicable|Not applicable|✅|Not applicable|✅|
|31016|not applicable|Not applicable|✅|Not applicable|✅|
|31017|not applicable|||||
|31018|not applicable|Not applicable|✅|Not applicable|✅|
|31019|not applicable|Not applicable|✅|Not applicable|✅|
|31020|not applicable|Not applicable|✅|Not applicable|✅|
|31021|not applicable|Not applicable|✅|Not applicable|✅|
|31022|not applicable|Not applicable|✅|Not applicable|✅|
|31023|not applicable|Not applicable|✅|Not applicable|✅|
|31024|not applicable|Not applicable|✅|Not applicable|✅|
|31025|not applicable|Not applicable|✅|Not applicable|✅|
|31026|not applicable|Not applicable|✅|Not applicable|✅|
|31027|not applicable|Not applicable|✅|Not applicable|✅|
|31028|failed|||||
|31029|failed|Failed|✅|Failed|✅|
|31030|failed|Failed|✅|Failed|✅|
|31031|not applicable|Not applicable|✅|Not applicable|✅|
|*31032|not applicable|Not applicable|✅|Not applicable|✅|
|31033|not applicable|Not applicable|✅|Not applicable|✅|
|31034|failed|Failed|✅|Failed|✅|
|31035|not applicable|Not applicable|✅|Not applicable|✅|
|31036|not applicable|Not applicable|✅|Not applicable|✅|
|31037|passed|Passed|✅|Passed|✅|
|*31038|not applicable|Not applicable|✅|Not applicable|✅|
|31039|not applicable|Not applicable|✅|Not applicable|✅|
|31040|not applicable|Not applicable|✅|Not applicable|✅|
|31041|not applicable|Not applicable|✅|Not applicable|✅|
|31042|passed|Passed|✅|Passed|✅|
|31043|passed|Passed|✅|Passed|✅|
|31044|passed|Passed|✅|Passed|✅|
|31045|passed|||||
|31046|failed|||||
|31047|failed|Failed|✅|Failed|✅|
|31048|passed|Passed|✅|Passed|✅|
|31049|passed|Passed|✅|Passed|✅|
|31050|passed|Passed|✅|Passed|✅|
|31051|passed|Passed|✅|Passed|✅|
|31052|not applicable|Not applicable|✅|Not applicable|✅|
|31054|passed|Passed|✅|Passed|✅|
|31055|failed|Failed|✅|Failed|✅|
|*31056|not applicable|Not applicable|✅|Not applicable|✅|
|31057|passed|Passed|✅|Passed|✅|
|31058|passed|Passed|✅|Passed|✅|
|31059|passed|Passed|✅|Passed|✅|
