|Id|4.x result|5.x result|4.x vs 5.x|5.x fix result|4.x vs 5.x fix|
|33010|failed|Failed|✅|Failed|✅|
|33011|failed|Failed|✅|Failed|✅|
|33012|failed|Failed|✅|Failed|✅|
|33013|failed|Failed|✅|Failed|✅|
|33014|passed|Passed|✅|Passed|✅|
|33015|passed|Passed|✅|Passed|✅|
|33016|passed|Passed|✅|Passed|✅|
|33017|passed|Passed|✅|Passed|✅|
|33018|failed|Failed|✅|Failed|✅|
|33019|failed|Failed|✅|Failed|✅|
|33020|failed|Failed|✅|Failed|✅|
|33021|failed|Failed|✅|Failed|✅|
|33022|failed|Failed|✅|Failed|✅|
|33023|failed|Failed|✅|Failed|✅|
|33024|failed|Failed|✅|Failed|✅|
|33025|failed|Failed|✅|Failed|✅|
|33026|failed|Failed|✅|Failed|✅|
|33027|failed|Failed|✅|Failed|✅|
|33028|failed|Failed|✅|Failed|✅|
|33029|failed|Failed|✅|Failed|✅|
|33030|failed|Failed|✅|Failed|✅|
|33031|failed|Failed|✅|Failed|✅|
|33032|failed|Failed|✅|Failed|✅|
|33033|failed|Failed|✅|Failed|✅|
|33034|failed|Failed|✅|Failed|✅|
|33035|failed|Failed|✅|Failed|✅|
|33039|failed|Failed|✅|Failed|✅|
|33040|not applicable|Not applicable|✅|Not applicable|✅|
|*33043|not applicable|Not applicable|✅|Not applicable|✅|
|33044|failed|Failed|✅|Failed|✅|
|33048|failed|Failed|✅|Failed|✅|
|33049|failed|||||
|33050|failed|Failed|✅|Failed|✅|
|33051|failed|Failed|✅|Failed|✅|
|33052|failed|Failed|✅|Failed|✅|
|33053|failed|Failed|✅|Failed|✅|
|33054|passed|Passed|✅|Passed|✅|
|33064|passed|Passed|✅|Passed|✅|
|33065|passed|Passed|✅|Passed|✅|
|33066|passed|Passed|✅|Passed|✅|
|33067|passed|Passed|✅|Passed|✅|
|33068|passed|Passed|✅|Passed|✅|
|33069|passed|Passed|✅|Passed|✅|
|33070|passed|Passed|✅|Passed|✅|
|33071|passed|Passed|✅|Passed|✅|
|33072|passed|Passed|✅|Passed|✅|
|33073|passed|Passed|✅|Passed|✅|
|33074|passed|Passed|✅|Passed|✅|
|33075|passed|Passed|✅|Passed|✅|
