|Id|4.x result|5.x result|4.x vs 5.x|5.x fix result|4.x vs 5.x fix|
|38500|failed|Failed|✅|Failed|✅|
|38501|failed|Failed|✅|Failed|✅|
|38502|failed|Failed|✅|Failed|✅|
|38503|failed|Failed|✅|Failed|✅|
|38504|failed|Failed|✅|Failed|✅|
|38505|failed|Failed|✅|Failed|✅|
|38506|failed|Failed|✅|Failed|✅|
|38507|failed|Failed|✅|Failed|✅|
|38508|failed|Failed|✅|Failed|✅|
|38509|failed|Failed|✅|Failed|✅|
|38510|failed|Failed|✅|Failed|✅|
|38511|failed|Failed|✅|Failed|✅|
|38512|failed|Failed|✅|Failed|✅|
|38513|failed|Failed|✅|Failed|✅|
|38514|failed|Failed|✅|Failed|✅|
|38515|failed|Failed|✅|Failed|✅|
|38516|failed|Failed|✅|Failed|✅|
|38517|failed|Failed|✅|Failed|✅|
|38518|failed|Failed|✅|Failed|✅|
|38519|failed|Failed|✅|Failed|✅|
|38520|failed|Failed|✅|Failed|✅|
|38521|failed|Failed|✅|Failed|✅|
|38522|passed|Passed|✅|Passed|✅|
|38523|passed|Passed|✅|Passed|✅|
|38524|passed|Passed|✅|Passed|✅|
|38525|passed|Passed|✅|Passed|✅|
|*38526|passed|Failed|🔴|Failed|🔴|
|38527|failed|Failed|✅|Failed|✅|
|38528|failed|Failed|✅|Failed|✅|
|38529|failed|Failed|✅|Failed|✅|
|*38530|not applicable|Not applicable|✅|Not applicable|✅|
|*38531|failed|Failed|✅|Failed|✅|
|38532|failed|Failed|✅|Failed|✅|
|38533|not applicable|Not applicable|✅|Not applicable|✅|
|38534|not applicable|Not applicable|✅|Not applicable|✅|
|38535|passed|Passed|✅|Passed|✅|
|*38536|not applicable|Not applicable|✅|Not applicable|✅|
|38537|failed|Failed|✅|Failed|✅|
|38538|failed|Failed|✅|Failed|✅|
|38539|failed|Failed|✅|Failed|✅|
|38540|passed|Passed|✅|Passed|✅|
|38541|passed|Passed|✅|Passed|✅|
|38542|passed|Passed|✅|Passed|✅|
|38543|passed|||||
|38544|failed|||||
|38545|failed|Failed|✅|Failed|✅|
|38546|passed|Passed|✅|Passed|✅|
|38547|passed|Passed|✅|Passed|✅|
|38548|passed|Passed|✅|Passed|✅|
|38549|passed|Passed|✅|Passed|✅|
|38550|not applicable|Not applicable|✅|Not applicable|✅|
|38551|passed|Passed|✅|Passed|✅|
