|Id|4.x result|5.x result|4.x vs 5.x|5.x fix result|4.x vs 5.x fix|
|*31500|not applicable|Passed|🔴|Passed|🔴|
|*31500|not applicable|Passed|🔴|Passed|🔴|
|*31500|not applicable|Passed|🔴|Passed|🔴|
|*31501|not applicable|Passed|🔴|Passed|🔴|
|*31501|not applicable|Passed|🔴|Passed|🔴|
|*31501|not applicable|Passed|🔴|Passed|🔴|
|31502|failed|Failed|✅|Failed|✅|
|31502|failed|Failed|✅|Failed|✅|
|31502|failed|Failed|✅|Failed|✅|
|31503|failed|Failed|✅|Failed|✅|
|31503|failed|Failed|✅|Failed|✅|
|31503|failed|Failed|✅|Failed|✅|
|31504|failed|Failed|✅|Failed|✅|
|31504|failed|Failed|✅|Failed|✅|
|31504|failed|Failed|✅|Failed|✅|
|31505|failed|Failed|✅|Failed|✅|
|31505|failed|Failed|✅|Failed|✅|
|31505|failed|Failed|✅|Failed|✅|
|31506|failed|Failed|✅|Failed|✅|
|31506|failed|Failed|✅|Failed|✅|
|31506|failed|Failed|✅|Failed|✅|
|31507|failed|Failed|✅|Failed|✅|
|31507|failed|Failed|✅|Failed|✅|
|31507|failed|Failed|✅|Failed|✅|
|31508|failed|Failed|✅|Failed|✅|
|31508|failed|Failed|✅|Failed|✅|
|31508|failed|Failed|✅|Failed|✅|
|31509|failed|Failed|✅|Failed|✅|
|31509|failed|Failed|✅|Failed|✅|
|31509|failed|Failed|✅|Failed|✅|
|31510|failed|Failed|✅|Failed|✅|
|31510|failed|Failed|✅|Failed|✅|
|31510|failed|Failed|✅|Failed|✅|
|31511|failed|Failed|✅|Failed|✅|
|31511|failed|Failed|✅|Failed|✅|
|31511|failed|Failed|✅|Failed|✅|
|31512|failed|Failed|✅|Failed|✅|
|31512|failed|Failed|✅|Failed|✅|
|31512|failed|Failed|✅|Failed|✅|
|31513|failed|Failed|✅|Failed|✅|
|31513|failed|Failed|✅|Failed|✅|
|31513|failed|Failed|✅|Failed|✅|
|31514|failed|Failed|✅|Failed|✅|
|31514|failed|Failed|✅|Failed|✅|
|31514|failed|Failed|✅|Failed|✅|
|31515|failed|Failed|✅|Failed|✅|
|31515|failed|Failed|✅|Failed|✅|
|31515|failed|Failed|✅|Failed|✅|
|31516|failed|Failed|✅|Failed|✅|
|31516|failed|Failed|✅|Failed|✅|
|31516|failed|Failed|✅|Failed|✅|
|31517|failed|Failed|✅|Failed|✅|
|31517|failed|Failed|✅|Failed|✅|
|31517|failed|Failed|✅|Failed|✅|
