|Id|4.x result|5.x result|4.x vs 5.x|5.x fix result|4.x vs 5.x fix|
|26000|failed|Failed|✅|Failed|✅|
|26001|passed|Passed|✅|Passed|✅|
|26002|failed|Failed|✅|Failed|✅|
|26003|failed|Failed|✅|Failed|✅|
|26004|failed|Failed|✅|Failed|✅|
|26005|failed|Failed|✅|Failed|✅|
|26006|failed|Failed|✅|Failed|✅|
|26007|failed|Failed|✅|Failed|✅|
|26008|failed|Failed|✅|Failed|✅|
|*26009|failed|Not applicable|🔴|Not applicable|🔴|
|26010|passed|Failed|🔴|Failed|🔴|
|26011|failed|Failed|✅|Failed|✅|
|26012|failed|Failed|✅|Failed|✅|
|26013|failed|Failed|✅|Failed|✅|
|26014|passed|Failed|🔴|Failed|🔴|
|26015|failed|Failed|✅|Failed|✅|
|26016|passed|Failed|🔴|Failed|🔴|
|26017|passed|Failed|🔴|Failed|🔴|
|26018|passed|Failed|🔴|Failed|🔴|
|26019|passed|Failed|🔴|Failed|🔴|
|26020|passed|Failed|🔴|Failed|🔴|
|26021|passed|Failed|🔴|Failed|🔴|
|26022|failed|Failed|✅|Failed|✅|
|26023|failed|Failed|✅|Failed|✅|
|26024|failed|Failed|✅|Failed|✅|
|26025|failed|Failed|✅|Failed|✅|
|26026|failed|Failed|✅|Failed|✅|
|26027|failed|Failed|✅|Failed|✅|
|26028|failed|Failed|✅|Failed|✅|
|26029|passed|Passed|✅|Passed|✅|
|26030|failed|Failed|✅|Failed|✅|
|26031|failed|Failed|✅|Failed|✅|
|26032|passed|Failed|🔴|Failed|🔴|
|26033|passed|Failed|🔴|Failed|🔴|
|26034|passed|Failed|🔴|Failed|🔴|
|26035|failed|Failed|✅|Failed|✅|
|26036|failed|Failed|✅|Failed|✅|
|26037|passed|Failed|🔴|Failed|🔴|
|26038|failed|Failed|✅|Failed|✅|
|26039|passed|Failed|🔴|Failed|🔴|
|26040|failed|Failed|✅|Failed|✅|
|26041|failed|Failed|✅|Failed|✅|
|26042|passed|Failed|🔴|Failed|🔴|
|26043|passed|Passed|✅|Passed|✅|
|26044|passed|Failed|🔴|Failed|🔴|
|26045|passed|Failed|🔴|Failed|🔴|
|26046|passed|Failed|🔴|Failed|🔴|
|26047|passed|Passed|✅|Passed|✅|
